Segment,Error_Code,Error_ID,Description
CD,16283,OE_PRICE_NOT_MULT,The order price is not multiple of the tick size.
CD,16284,OE_PRICE_EXCEEDS_DAY_MIN_MAX,The order price is out of the day‟s price range.
CD,16285,OE_IS_NOT_ACTIVE,The broker is not active.
CD,16300,e$system_wrong_state,System is in a wrong state to make the requested change.
CD,16303,OE_AUCTION_PENDING,The auction is pending.
CD,16307,OE_QTY_FREEZE_CAN,The order has been canceled due to quantity freeze.
CD,16308,OE_PRICE_FREEZE_CAN,The order has been canceled due to price freeze.
CD,16311,OE_SOL_PERIOD_OVER,The Solicitor period for the Auction is over.
CD,16312,OE_COMP_PERIOD_OVER,The Competitor period for the Auction is over.
CD,16313,OE_AUC_PERIOD_GREATER,The Auction period will cross market close time.
CD,16315,OE_LIMIT_TRIGGER,The limit price is worse than the trigger price.
CD,16316,OE_TRIGGER_PRICE_NOT_MULT,The trigger price is not a multiple of tick size.
CD,16317,OE_NO_AON_ATTRIB,AON attribute not allowed.
CD,16318,OE_NO_MF_ATTRIB,MF attribute not allowed.
CD,16319,OE_NO_AON_IN_ATTRIB1,AON attribute not allowed at Security level.
CD,16320,OE_NO_MF_ATTRIB1,MF attribute not allowed at security level.
CD,16321,OE_MF_GREATER_DISC,MF quantity is greater than disclosed quantity
CD,16322,OE_MF_NOT_MULT,MF quantity is not a multiple of regular lot.
CD,16323,OE_MF_GREATER_ORIGINAL,MF quantity is greater than Original quantity.
